Linux 3.0.101-0.15-default (axle) 	11/19/2014 	_x86_64_

10:42:58 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
10:43:58 AM     all     22.14      0.00      7.79      0.22      0.00     69.85
10:44:58 AM     all     12.99      0.00      6.18      0.00      0.00     80.83
10:45:58 AM     all      7.97      0.00      5.71      0.00      0.00     86.31
10:46:58 AM     all      7.35      0.29      4.74      0.00      0.00     87.61
10:47:58 AM     all      5.83      1.96      7.50      0.01      0.00     84.70
10:48:58 AM     all     13.30      1.60      7.26      0.04      0.00     77.80
10:49:58 AM     all     12.93      0.00      0.33      0.00      0.00     86.74
10:50:58 AM     all      8.05      0.00      0.42      0.00      0.00     91.53
10:51:58 AM     all      5.69      0.00      0.36      0.00      0.00     93.95
10:52:58 AM     all      4.68      0.00      1.33      0.00      0.00     93.99
10:53:58 AM     all     17.01      0.00      1.58      0.00      0.00     81.41
10:54:58 AM     all      7.36      0.00      0.88      0.00      0.00     91.76
