# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
axle;60;1416390238;0.07;17420.89;244486.00;0.00;332777.93;0.00;0.00;0.00;0.00
axle;60;1416390298;0.00;268.67;243179.31;0.00;207555.73;0.00;0.00;0.00;0.00
axle;60;1416390358;3.81;367.74;182113.69;0.07;150346.56;0.00;0.00;0.00;0.00
axle;60;1416390418;64.49;426.73;151778.68;0.23;122043.17;0.00;0.00;0.00;0.00
axle;60;1416390478;120.35;401.20;259136.43;0.05;118696.35;0.00;0.00;0.00;0.00
axle;59;1416390538;1133.00;448.01;229207.56;0.13;105505.19;0.00;0.00;0.00;0.00
axle;60;1416390598;0.00;65.76;1435.96;0.00;12186.83;0.00;0.00;0.00;0.00
axle;60;1416390658;0.00;40.96;221.33;0.00;24068.78;0.00;0.00;0.00;0.00
axle;60;1416390718;0.00;26.09;220.72;0.00;7068.34;0.00;0.00;0.00;0.00
axle;60;1416390778;0.00;20.97;10537.95;0.00;23412.27;0.00;0.00;0.00;0.00
axle;60;1416390838;0.00;70.70;39084.26;0.00;22380.64;0.00;0.00;0.00;0.00
axle;60;1416390898;0.00;37.36;323.79;0.00;43905.10;0.00;0.00;0.00;0.00
