# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
axle;60;1416390971;sda;46.67;8.54;9940.25;213.19;1.68;35.93;0.29;1.34
axle;60;1416391031;sda;2.29;0.00;375.84;163.97;0.00;2.16;0.23;0.05
axle;60;1416391091;sda;3.27;10.00;418.00;131.02;0.01;2.71;0.24;0.08
axle;60;1416391151;sda;2.27;0.00;362.92;160.06;0.01;2.82;0.21;0.05
axle;60;1416391211;sda;3.01;0.00;426.97;141.70;0.01;3.14;0.27;0.08
axle;60;1416391271;sda;3.67;0.13;497.77;135.75;0.02;5.13;0.31;0.11
axle;60;1416391331;sda;3.50;26.14;595.97;177.71;0.02;4.48;0.32;0.11
axle;60;1416391391;sda;3.66;128.81;430.43;152.73;0.01;3.31;0.26;0.09
axle;60;1416391451;sda;3.12;1.73;487.41;156.92;0.02;4.92;0.24;0.07
