# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;60;1416391611;13299684;251224740;94.97;132460;44883628;210557788;77.15
axle;60;1416391671;12506380;252018044;95.27;132588;45347328;210867424;77.27
axle;60;1416391731;11058368;253466056;95.82;132688;44833488;212848908;77.99
axle;60;1416391791;12816496;251707928;95.15;132808;44876828;211037076;77.33
axle;60;1416391851;9351568;255172856;96.46;132932;44907620;214748820;78.69
axle;60;1416391911;14718540;249805884;94.44;133060;44958004;209078632;76.61
axle;60;1416391971;14586584;249937840;94.49;133168;44981392;209204840;76.66
axle;60;1416392031;11219516;253304908;95.76;133288;45062088;212570200;77.89
axle;60;1416392091;16332332;248192092;93.83;133404;45071452;207492168;76.03
axle;60;1416392151;16317988;248206436;93.83;133496;45072648;207491796;76.03
axle;60;1416392211;16320188;248204236;93.83;133532;45074400;207491792;76.03
